x	y	z	contour type	frameID	weight	time frame
-23.83910	-25.27686	-43.94096	SAX_RV_FREEWALL	3	1.0	10
-25.53567	-24.17210	-46.34696	SAX_RV_FREEWALL	3	1.0	10
-27.76336	-24.17210	-48.06381	SAX_RV_FREEWALL	3	1.0	10
-29.45993	-23.06733	-50.46981	SAX_RV_FREEWALL	3	1.0	10
-31.68761	-23.06734	-52.18665	SAX_RV_FREEWALL	3	1.0	10
-33.91530	-23.06734	-53.90350	SAX_RV_FREEWALL	3	1.0	10
-35.61187	-21.96257	-56.30950	SAX_RV_FREEWALL	3	1.0	10
-37.83956	-21.96258	-58.02635	SAX_RV_FREEWALL	3	1.0	10
-39.53613	-20.85781	-60.43235	SAX_RV_FREEWALL	3	1.0	10
-41.23269	-19.75304	-62.83835	SAX_RV_FREEWALL	3	1.0	10
-42.92926	-18.64828	-65.24436	SAX_RV_FREEWALL	3	1.0	10
-44.62583	-17.54351	-67.65036	SAX_RV_FREEWALL	3	1.0	10
-45.79128	-15.33398	-70.74552	SAX_RV_FREEWALL	3	1.0	10
-45.84288	-13.12444	-72.98225	SAX_RV_FREEWALL	3	1.0	10
-45.89448	-10.91491	-75.21899	SAX_RV_FREEWALL	3	1.0	10
-44.83224	-8.70537	-76.59730	SAX_RV_FREEWALL	3	1.0	10
-43.77000	-6.49583	-77.97562	SAX_RV_FREEWALL	3	1.0	10
-40.48007	-4.28629	-77.63708	SAX_RV_FREEWALL	3	1.0	10
-38.30398	-2.07676	-78.15697	SAX_RV_FREEWALL	3	1.0	10
-36.12789	0.13278	-78.67686	SAX_RV_FREEWALL	3	1.0	10
-33.95181	2.34232	-79.19676	SAX_RV_FREEWALL	3	1.0	10
-30.66188	4.55186	-78.85822	SAX_RV_FREEWALL	3	1.0	10
-27.37195	6.76140	-78.51969	SAX_RV_FREEWALL	3	1.0	10
-24.08202	8.97094	-78.18116	SAX_RV_FREEWALL	3	1.0	10
-21.32321	10.07571	-77.15347	SAX_RV_FREEWALL	3	1.0	10
-18.56440	11.18048	-76.12578	SAX_RV_FREEWALL	3	1.0	10
-16.33671	11.18048	-74.40894	SAX_RV_FREEWALL	3	1.0	10
8.25597	-16.43869	-27.99364	SAX_RV_FREEWALL	3	1.0	10
5.49716	-17.54346	-29.02133	SAX_RV_FREEWALL	3	1.0	10
2.73835	-18.64823	-30.04902	SAX_RV_FREEWALL	3	1.0	10
-0.02046	-19.75300	-31.07671	SAX_RV_FREEWALL	3	1.0	10
-2.77927	-20.85777	-32.10440	SAX_RV_FREEWALL	3	1.0	10
-5.53808	-21.96254	-33.13209	SAX_RV_FREEWALL	3	1.0	10
-8.29689	-23.06731	-34.15978	SAX_RV_FREEWALL	3	1.0	10
-11.05570	-24.17208	-35.18746	SAX_RV_FREEWALL	3	1.0	10
-13.28338	-24.17209	-36.90431	SAX_RV_FREEWALL	3	1.0	10
-16.04219	-25.27686	-37.93200	SAX_RV_FREEWALL	3	1.0	10
-18.26988	-25.27686	-39.64884	SAX_RV_FREEWALL	3	1.0	10
-20.49757	-25.27686	-41.36569	SAX_RV_FREEWALL	3	1.0	10
-22.72526	-25.27686	-43.08254	SAX_RV_FREEWALL	3	1.0	10
-25.96359	-29.69594	-41.18433	SAX_RV_EPICARDIAL	3	1.0	10
-27.66015	-28.59117	-43.59033	SAX_RV_EPICARDIAL	3	1.0	10
-29.88784	-28.59117	-45.30718	SAX_RV_EPICARDIAL	3	1.0	10
-32.11553	-28.59118	-47.02403	SAX_RV_EPICARDIAL	3	1.0	10
-33.81210	-27.48641	-49.43003	SAX_RV_EPICARDIAL	3	1.0	10
-36.03979	-27.48641	-51.14687	SAX_RV_EPICARDIAL	3	1.0	10
-37.73635	-26.38165	-53.55288	SAX_RV_EPICARDIAL	3	1.0	10
-39.96404	-26.38165	-55.26972	SAX_RV_EPICARDIAL	3	1.0	10
-41.66061	-25.27688	-57.67572	SAX_RV_EPICARDIAL	3	1.0	10
-43.88830	-25.27688	-59.39257	SAX_RV_EPICARDIAL	3	1.0	10
-45.58487	-24.17212	-61.79857	SAX_RV_EPICARDIAL	3	1.0	10
-47.28143	-23.06735	-64.20457	SAX_RV_EPICARDIAL	3	1.0	10
-48.44688	-20.85782	-67.29973	SAX_RV_EPICARDIAL	3	1.0	10
-49.61233	-18.64828	-70.39489	SAX_RV_EPICARDIAL	3	1.0	10
-50.77777	-16.43875	-73.49005	SAX_RV_EPICARDIAL	3	1.0	10
-49.71553	-14.22921	-74.86836	SAX_RV_EPICARDIAL	3	1.0	10
-48.65329	-12.01968	-76.24668	SAX_RV_EPICARDIAL	3	1.0	10
-47.59105	-9.81014	-77.62499	SAX_RV_EPICARDIAL	3	1.0	10
-46.52881	-7.60060	-79.00330	SAX_RV_EPICARDIAL	3	1.0	10
-45.46656	-5.39107	-80.38162	SAX_RV_EPICARDIAL	3	1.0	10
-44.40432	-3.18153	-81.75993	SAX_RV_EPICARDIAL	3	1.0	10
-42.22824	-0.97199	-82.27982	SAX_RV_EPICARDIAL	3	1.0	10
-40.05215	1.23755	-82.79971	SAX_RV_EPICARDIAL	3	1.0	10
-36.76222	3.44708	-82.46118	SAX_RV_EPICARDIAL	3	1.0	10
-33.47229	5.65662	-82.12265	SAX_RV_EPICARDIAL	3	1.0	10
-30.18236	7.86616	-81.78412	SAX_RV_EPICARDIAL	3	1.0	10
-26.89243	10.07570	-81.44558	SAX_RV_EPICARDIAL	3	1.0	10
-23.60250	12.28524	-81.10705	SAX_RV_EPICARDIAL	3	1.0	10
-20.84369	13.39001	-80.07936	SAX_RV_EPICARDIAL	3	1.0	10
-18.08488	14.49478	-79.05167	SAX_RV_EPICARDIAL	3	1.0	10
-15.85719	14.49478	-77.33483	SAX_RV_EPICARDIAL	3	1.0	10
-13.09838	15.59955	-76.30714	SAX_RV_EPICARDIAL	3	1.0	10
-12.46406	12.28525	-72.52282	SAX_RV_EPICARDIAL	3	1.0	10
12.07702	-13.12438	-28.34427	SAX_RV_EPICARDIAL	3	1.0	10
16.53240	-13.12438	-24.91058	SAX_RV_EPICARDIAL	3	1.0	10
14.35631	-15.33392	-24.39068	SAX_RV_EPICARDIAL	3	1.0	10
11.06638	-17.54346	-24.72922	SAX_RV_EPICARDIAL	3	1.0	10
7.77645	-19.75299	-25.06775	SAX_RV_EPICARDIAL	3	1.0	10
5.01764	-20.85776	-26.09544	SAX_RV_EPICARDIAL	3	1.0	10
2.25883	-21.96254	-27.12313	SAX_RV_EPICARDIAL	3	1.0	10
-0.49998	-23.06731	-28.15082	SAX_RV_EPICARDIAL	3	1.0	10
-3.78991	-25.27684	-28.48935	SAX_RV_EPICARDIAL	3	1.0	10
-6.54872	-26.38162	-29.51704	SAX_RV_EPICARDIAL	3	1.0	10
-9.30753	-27.48639	-30.54473	SAX_RV_EPICARDIAL	3	1.0	10
-12.06634	-28.59116	-31.57241	SAX_RV_EPICARDIAL	3	1.0	10
-14.29402	-28.59116	-33.28926	SAX_RV_EPICARDIAL	3	1.0	10
-17.05283	-29.69593	-34.31695	SAX_RV_EPICARDIAL	3	1.0	10
-19.28052	-29.69593	-36.03379	SAX_RV_EPICARDIAL	3	1.0	10
-21.50821	-29.69593	-37.75064	SAX_RV_EPICARDIAL	3	1.0	10
-23.73590	-29.69594	-39.46749	SAX_RV_EPICARDIAL	3	1.0	10
-14.10902	11.18048	-72.69209	SAX_RV_SEPTUM	3	1.0	10
-12.94357	8.97095	-69.59693	SAX_RV_SEPTUM	3	1.0	10
-12.89197	6.76141	-67.36019	SAX_RV_SEPTUM	3	1.0	10
-12.84037	4.55188	-65.12346	SAX_RV_SEPTUM	3	1.0	10
-12.78877	2.34234	-62.88672	SAX_RV_SEPTUM	3	1.0	10
-12.73717	0.13280	-60.64999	SAX_RV_SEPTUM	3	1.0	10
-11.57172	-2.07673	-57.55483	SAX_RV_SEPTUM	3	1.0	10
-11.52012	-4.28627	-55.31809	SAX_RV_SEPTUM	3	1.0	10
-10.35467	-6.49580	-52.22293	SAX_RV_SEPTUM	3	1.0	10
-9.18922	-8.70533	-49.12777	SAX_RV_SEPTUM	3	1.0	10
-7.49266	-9.81010	-46.72177	SAX_RV_SEPTUM	3	1.0	10
-6.32721	-12.01963	-43.62661	SAX_RV_SEPTUM	3	1.0	10
-4.09952	-12.01963	-41.90977	SAX_RV_SEPTUM	3	1.0	10
-2.40295	-13.12440	-39.50376	SAX_RV_SEPTUM	3	1.0	10
-0.17526	-13.12440	-37.78692	SAX_RV_SEPTUM	3	1.0	10
2.05242	-13.12439	-36.07007	SAX_RV_SEPTUM	3	1.0	10
4.28011	-13.12439	-34.35323	SAX_RV_SEPTUM	3	1.0	10
6.50780	-13.12439	-32.63638	SAX_RV_SEPTUM	3	1.0	10
8.73549	-13.12439	-30.91953	SAX_RV_SEPTUM	3	1.0	10
10.96318	-13.12438	-29.20269	SAX_RV_SEPTUM	3	1.0	10
11.54590	-14.22915	-27.65511	SAX_RV_SEPTUM	3	1.0	10
-9.75685	15.59956	-73.73187	SAX_LV_EPICARDIAL	3	1.0	10
-8.69461	17.80909	-75.11018	SAX_LV_EPICARDIAL	3	1.0	10
-6.51852	20.01863	-75.63008	SAX_LV_EPICARDIAL	3	1.0	10
-5.45628	22.22817	-77.00839	SAX_LV_EPICARDIAL	3	1.0	10
-3.28019	24.43770	-77.52828	SAX_LV_EPICARDIAL	3	1.0	10
-1.10411	26.64724	-78.04817	SAX_LV_EPICARDIAL	3	1.0	10
2.18582	28.85678	-77.70964	SAX_LV_EPICARDIAL	3	1.0	10
4.36191	31.06632	-78.22953	SAX_LV_EPICARDIAL	3	1.0	10
7.65184	33.27586	-77.89100	SAX_LV_EPICARDIAL	3	1.0	10
10.41065	34.38063	-76.86331	SAX_LV_EPICARDIAL	3	1.0	10
13.16946	35.48540	-75.83562	SAX_LV_EPICARDIAL	3	1.0	10
15.92827	36.59017	-74.80793	SAX_LV_EPICARDIAL	3	1.0	10
18.68708	37.69494	-73.78024	SAX_LV_EPICARDIAL	3	1.0	10
21.44589	38.79971	-72.75255	SAX_LV_EPICARDIAL	3	1.0	10
23.67357	38.79971	-71.03571	SAX_LV_EPICARDIAL	3	1.0	10
26.43238	39.90448	-70.00802	SAX_LV_EPICARDIAL	3	1.0	10
28.66007	39.90449	-68.29117	SAX_LV_EPICARDIAL	3	1.0	10
30.88776	39.90449	-66.57433	SAX_LV_EPICARDIAL	3	1.0	10
33.11545	39.90449	-64.85748	SAX_LV_EPICARDIAL	3	1.0	10
35.34314	39.90449	-63.14063	SAX_LV_EPICARDIAL	3	1.0	10
37.57083	39.90449	-61.42379	SAX_LV_EPICARDIAL	3	1.0	10
39.26739	38.79973	-59.01779	SAX_LV_EPICARDIAL	3	1.0	10
40.96396	37.69496	-56.61178	SAX_LV_EPICARDIAL	3	1.0	10
42.66053	36.59020	-54.20578	SAX_LV_EPICARDIAL	3	1.0	10
43.82598	34.38066	-51.11062	SAX_LV_EPICARDIAL	3	1.0	10
44.99142	32.17113	-48.01546	SAX_LV_EPICARDIAL	3	1.0	10
46.15687	29.96159	-44.92030	SAX_LV_EPICARDIAL	3	1.0	10
46.20847	27.75206	-42.68357	SAX_LV_EPICARDIAL	3	1.0	10
46.26007	25.54252	-40.44683	SAX_LV_EPICARDIAL	3	1.0	10
45.19783	23.33299	-39.06852	SAX_LV_EPICARDIAL	3	1.0	10
45.24943	21.12345	-36.83178	SAX_LV_EPICARDIAL	3	1.0	10
44.18719	18.91391	-35.45347	SAX_LV_EPICARDIAL	3	1.0	10
44.23879	16.70438	-33.21673	SAX_LV_EPICARDIAL	3	1.0	10
43.17655	14.49484	-31.83842	SAX_LV_EPICARDIAL	3	1.0	10
42.11431	12.28530	-30.46011	SAX_LV_EPICARDIAL	3	1.0	10
41.05207	10.07577	-29.08179	SAX_LV_EPICARDIAL	3	1.0	10
39.98983	7.86623	-27.70348	SAX_LV_EPICARDIAL	3	1.0	10
37.81374	5.65669	-27.18359	SAX_LV_EPICARDIAL	3	1.0	10
36.75150	3.44716	-25.80528	SAX_LV_EPICARDIAL	3	1.0	10
34.57541	1.23762	-25.28538	SAX_LV_EPICARDIAL	3	1.0	10
32.39933	-0.97192	-24.76549	SAX_LV_EPICARDIAL	3	1.0	10
30.22324	-3.18146	-24.24560	SAX_LV_EPICARDIAL	3	1.0	10
26.93331	-5.39099	-24.58414	SAX_LV_EPICARDIAL	3	1.0	10
23.64338	-7.60053	-24.92267	SAX_LV_EPICARDIAL	3	1.0	10
20.35345	-9.81007	-25.26120	SAX_LV_EPICARDIAL	3	1.0	10
17.59464	-10.91484	-26.28889	SAX_LV_EPICARDIAL	3	1.0	10
15.36695	-10.91484	-28.00573	SAX_LV_EPICARDIAL	3	1.0	10
9.59132	-2.07671	-41.24479	SAX_LV_ENDOCARDIAL	3	1.0	10
7.89475	-0.97194	-43.65080	SAX_LV_ENDOCARDIAL	3	1.0	10
5.66707	-0.97194	-45.36764	SAX_LV_ENDOCARDIAL	3	1.0	10
3.97050	0.13282	-47.77364	SAX_LV_ENDOCARDIAL	3	1.0	10
2.80505	2.34236	-50.86880	SAX_LV_ENDOCARDIAL	3	1.0	10
1.10848	3.44712	-53.27481	SAX_LV_ENDOCARDIAL	3	1.0	10
-0.05696	5.65666	-56.36996	SAX_LV_ENDOCARDIAL	3	1.0	10
-1.22241	7.86619	-59.46512	SAX_LV_ENDOCARDIAL	3	1.0	10
-1.27401	10.07573	-61.70186	SAX_LV_ENDOCARDIAL	3	1.0	10
-0.21177	12.28526	-63.08017	SAX_LV_ENDOCARDIAL	3	1.0	10
0.85047	14.49480	-64.45849	SAX_LV_ENDOCARDIAL	3	1.0	10
1.91271	16.70434	-65.83680	SAX_LV_ENDOCARDIAL	3	1.0	10
2.97496	18.91387	-67.21511	SAX_LV_ENDOCARDIAL	3	1.0	10
5.15104	21.12341	-67.73500	SAX_LV_ENDOCARDIAL	3	1.0	10
7.32713	23.33295	-68.25489	SAX_LV_ENDOCARDIAL	3	1.0	10
10.61706	25.54249	-67.91636	SAX_LV_ENDOCARDIAL	3	1.0	10
13.90699	27.75203	-67.57783	SAX_LV_ENDOCARDIAL	3	1.0	10
16.66580	28.85680	-66.55014	SAX_LV_ENDOCARDIAL	3	1.0	10
19.42461	29.96157	-65.52245	SAX_LV_ENDOCARDIAL	3	1.0	10
21.65230	29.96157	-63.80561	SAX_LV_ENDOCARDIAL	3	1.0	10
23.87998	29.96157	-62.08876	SAX_LV_ENDOCARDIAL	3	1.0	10
26.10767	29.96157	-60.37192	SAX_LV_ENDOCARDIAL	3	1.0	10
28.33536	29.96157	-58.65507	SAX_LV_ENDOCARDIAL	3	1.0	10
30.03193	28.85681	-56.24907	SAX_LV_ENDOCARDIAL	3	1.0	10
31.72850	27.75204	-53.84307	SAX_LV_ENDOCARDIAL	3	1.0	10
33.42506	26.64728	-51.43706	SAX_LV_ENDOCARDIAL	3	1.0	10
34.59051	24.43774	-48.34190	SAX_LV_ENDOCARDIAL	3	1.0	10
34.64211	22.22821	-46.10517	SAX_LV_ENDOCARDIAL	3	1.0	10
34.69371	20.01867	-43.86843	SAX_LV_ENDOCARDIAL	3	1.0	10
34.74532	17.80914	-41.63169	SAX_LV_ENDOCARDIAL	3	1.0	10
34.79692	15.59960	-39.39496	SAX_LV_ENDOCARDIAL	3	1.0	10
33.73468	13.39006	-38.01665	SAX_LV_ENDOCARDIAL	3	1.0	10
32.67244	11.18053	-36.63833	SAX_LV_ENDOCARDIAL	3	1.0	10
31.61019	8.97099	-35.26002	SAX_LV_ENDOCARDIAL	3	1.0	10
30.54795	6.76145	-33.88170	SAX_LV_ENDOCARDIAL	3	1.0	10
29.48571	4.55192	-32.50339	SAX_LV_ENDOCARDIAL	3	1.0	10
27.30962	2.34238	-31.98350	SAX_LV_ENDOCARDIAL	3	1.0	10
24.01969	0.13284	-32.32203	SAX_LV_ENDOCARDIAL	3	1.0	10
21.26088	-0.97193	-33.34972	SAX_LV_ENDOCARDIAL	3	1.0	10
18.50208	-2.07670	-34.37741	SAX_LV_ENDOCARDIAL	3	1.0	10
16.27439	-2.07670	-36.09426	SAX_LV_ENDOCARDIAL	3	1.0	10
14.04670	-2.07670	-37.81110	SAX_LV_ENDOCARDIAL	3	1.0	10
11.81901	-2.07671	-39.52795	SAX_LV_ENDOCARDIAL	3	1.0	10
11.54590	-14.22915	-27.65511	RV_INSERT	3	1.0	10
-14.10902	11.18048	-72.69209	RV_INSERT	3	1.0	10
-27.17547	-30.70404	-69.55974	SAX_RV_FREEWALL	4	1.0	10
-28.87204	-29.59927	-71.96574	SAX_RV_FREEWALL	4	1.0	10
