x	y	z	contour type	frameID	weight	time frame
-39.38748	-22.05875	-30.67813	SAX_RV_FREEWALL	2	1.0	18
-41.08405	-20.95398	-33.08413	SAX_RV_FREEWALL	2	1.0	18
-43.31174	-20.95398	-34.80098	SAX_RV_FREEWALL	2	1.0	18
-45.53943	-20.95398	-36.51782	SAX_RV_FREEWALL	2	1.0	18
-47.76711	-20.95399	-38.23467	SAX_RV_FREEWALL	2	1.0	18
-49.99480	-20.95399	-39.95151	SAX_RV_FREEWALL	2	1.0	18
-52.22249	-20.95399	-41.66836	SAX_RV_FREEWALL	2	1.0	18
-53.91906	-19.84922	-44.07436	SAX_RV_FREEWALL	2	1.0	18
-56.14675	-19.84923	-45.79121	SAX_RV_FREEWALL	2	1.0	18
-58.37444	-19.84923	-47.50805	SAX_RV_FREEWALL	2	1.0	18
-60.07100	-18.74446	-49.91406	SAX_RV_FREEWALL	2	1.0	18
-61.76757	-17.63970	-52.32006	SAX_RV_FREEWALL	2	1.0	18
-63.46414	-16.53493	-54.72606	SAX_RV_FREEWALL	2	1.0	18
-65.16071	-15.43016	-57.13206	SAX_RV_FREEWALL	2	1.0	18
-66.32615	-13.22063	-60.22722	SAX_RV_FREEWALL	2	1.0	18
-68.02272	-12.11586	-62.63322	SAX_RV_FREEWALL	2	1.0	18
-68.07432	-9.90633	-64.86996	SAX_RV_FREEWALL	2	1.0	18
-68.12592	-7.69679	-67.10670	SAX_RV_FREEWALL	2	1.0	18
-68.17753	-5.48726	-69.34343	SAX_RV_FREEWALL	2	1.0	18
-67.11529	-3.27772	-70.72175	SAX_RV_FREEWALL	2	1.0	18
-66.05304	-1.06819	-72.10006	SAX_RV_FREEWALL	2	1.0	18
-63.87696	1.14135	-72.61995	SAX_RV_FREEWALL	2	1.0	18
-62.81472	3.35089	-73.99826	SAX_RV_FREEWALL	2	1.0	18
-60.63863	5.56043	-74.51816	SAX_RV_FREEWALL	2	1.0	18
-58.46254	7.76996	-75.03805	SAX_RV_FREEWALL	2	1.0	18
-55.17261	9.97950	-74.69951	SAX_RV_FREEWALL	2	1.0	18
-52.99653	12.18904	-75.21940	SAX_RV_FREEWALL	2	1.0	18
-50.82044	14.39858	-75.73929	SAX_RV_FREEWALL	2	1.0	18
-47.53051	16.60812	-75.40076	SAX_RV_FREEWALL	2	1.0	18
-44.77170	17.71289	-74.37307	SAX_RV_FREEWALL	2	1.0	18
-41.48177	19.92243	-74.03454	SAX_RV_FREEWALL	2	1.0	18
-38.72296	21.02720	-73.00685	SAX_RV_FREEWALL	2	1.0	18
-35.96415	22.13197	-71.97916	SAX_RV_FREEWALL	2	1.0	18
-33.20534	23.23674	-70.95147	SAX_RV_FREEWALL	2	1.0	18
-30.97765	23.23674	-69.23463	SAX_RV_FREEWALL	2	1.0	18
-29.28109	22.13197	-66.82863	SAX_RV_FREEWALL	2	1.0	18
-27.05340	22.13198	-65.11178	SAX_RV_FREEWALL	2	1.0	18
12.49878	-2.17287	-10.46288	SAX_RV_FREEWALL	2	1.0	18
12.55038	-4.38241	-8.22615	SAX_RV_FREEWALL	2	1.0	18
11.48814	-6.59195	-6.84783	SAX_RV_FREEWALL	2	1.0	18
10.42589	-8.80148	-5.46952	SAX_RV_FREEWALL	2	1.0	18
7.13596	-11.01102	-5.80805	SAX_RV_FREEWALL	2	1.0	18
3.84603	-13.22056	-6.14659	SAX_RV_FREEWALL	2	1.0	18
1.08722	-14.32533	-7.17427	SAX_RV_FREEWALL	2	1.0	18
-2.20271	-16.53487	-7.51281	SAX_RV_FREEWALL	2	1.0	18
-4.96152	-17.63964	-8.54050	SAX_RV_FREEWALL	2	1.0	18
-7.72033	-18.74441	-9.56818	SAX_RV_FREEWALL	2	1.0	18
-9.94801	-18.74441	-11.28503	SAX_RV_FREEWALL	2	1.0	18
-12.70682	-19.84918	-12.31272	SAX_RV_FREEWALL	2	1.0	18
-14.93451	-19.84919	-14.02956	SAX_RV_FREEWALL	2	1.0	18
-17.16220	-19.84919	-15.74641	SAX_RV_FREEWALL	2	1.0	18
-19.92101	-20.95396	-16.77410	SAX_RV_FREEWALL	2	1.0	18
-22.67982	-22.05873	-17.80179	SAX_RV_FREEWALL	2	1.0	18
-24.90751	-22.05873	-19.51863	SAX_RV_FREEWALL	2	1.0	18
-27.13520	-22.05873	-21.23548	SAX_RV_FREEWALL	2	1.0	18
-29.36288	-22.05874	-22.95232	SAX_RV_FREEWALL	2	1.0	18
-31.59057	-22.05874	-24.66917	SAX_RV_FREEWALL	2	1.0	18
-33.81826	-22.05874	-26.38602	SAX_RV_FREEWALL	2	1.0	18
-36.04595	-22.05874	-28.10286	SAX_RV_FREEWALL	2	1.0	18
-38.27364	-22.05874	-29.81971	SAX_RV_FREEWALL	2	1.0	18
-48.24663	-24.26829	-35.30878	SAX_RV_EPICARDIAL	2	1.0	18
-49.94320	-23.16352	-37.71478	SAX_RV_EPICARDIAL	2	1.0	18
-52.17089	-23.16353	-39.43162	SAX_RV_EPICARDIAL	2	1.0	18
-54.39858	-23.16353	-41.14847	SAX_RV_EPICARDIAL	2	1.0	18
-56.62627	-23.16353	-42.86532	SAX_RV_EPICARDIAL	2	1.0	18
-58.32283	-22.05876	-45.27132	SAX_RV_EPICARDIAL	2	1.0	18
-60.55052	-22.05877	-46.98816	SAX_RV_EPICARDIAL	2	1.0	18
-62.24709	-20.95400	-49.39417	SAX_RV_EPICARDIAL	2	1.0	18
-63.94366	-19.84923	-51.80017	SAX_RV_EPICARDIAL	2	1.0	18
-65.64022	-18.74447	-54.20617	SAX_RV_EPICARDIAL	2	1.0	18
-66.80567	-16.53493	-57.30133	SAX_RV_EPICARDIAL	2	1.0	18
-68.50224	-15.43017	-59.70733	SAX_RV_EPICARDIAL	2	1.0	18
-69.66769	-13.22063	-62.80249	SAX_RV_EPICARDIAL	2	1.0	18
-70.25041	-12.11587	-64.35007	SAX_RV_EPICARDIAL	2	1.0	18
-70.30201	-9.90633	-66.58681	SAX_RV_EPICARDIAL	2	1.0	18
-70.35361	-7.69680	-68.82354	SAX_RV_EPICARDIAL	2	1.0	18
-70.40522	-5.48726	-71.06028	SAX_RV_EPICARDIAL	2	1.0	18
-69.34297	-3.27772	-72.43859	SAX_RV_EPICARDIAL	2	1.0	18
-67.16689	-1.06819	-72.95848	SAX_RV_EPICARDIAL	2	1.0	18
-66.10465	1.14135	-74.33680	SAX_RV_EPICARDIAL	2	1.0	18
-65.04240	3.35089	-75.71511	SAX_RV_EPICARDIAL	2	1.0	18
-62.86632	5.56042	-76.23500	SAX_RV_EPICARDIAL	2	1.0	18
-60.69023	7.76996	-76.75489	SAX_RV_EPICARDIAL	2	1.0	18
-58.51415	9.97950	-77.27478	SAX_RV_EPICARDIAL	2	1.0	18
-56.33806	12.18904	-77.79467	SAX_RV_EPICARDIAL	2	1.0	18
-54.16197	14.39858	-78.31456	SAX_RV_EPICARDIAL	2	1.0	18
-50.87204	16.60811	-77.97603	SAX_RV_EPICARDIAL	2	1.0	18
-47.58211	18.81765	-77.63750	SAX_RV_EPICARDIAL	2	1.0	18
-44.29218	21.02719	-77.29897	SAX_RV_EPICARDIAL	2	1.0	18
-41.53337	22.13196	-76.27128	SAX_RV_EPICARDIAL	2	1.0	18
-38.77456	23.23673	-75.24359	SAX_RV_EPICARDIAL	2	1.0	18
-36.01575	24.34150	-74.21590	SAX_RV_EPICARDIAL	2	1.0	18
-33.25694	25.44627	-73.18821	SAX_RV_EPICARDIAL	2	1.0	18
-31.02926	25.44628	-71.47137	SAX_RV_EPICARDIAL	2	1.0	18
-28.80157	25.44628	-69.75452	SAX_RV_EPICARDIAL	2	1.0	18
-26.57388	25.44628	-68.03767	SAX_RV_EPICARDIAL	2	1.0	18
-24.34619	25.44628	-66.32083	SAX_RV_EPICARDIAL	2	1.0	18
-25.35683	21.02721	-62.70578	SAX_RV_EPICARDIAL	2	1.0	18
12.55038	-4.38241	-8.22615	SAX_RV_EPICARDIAL	2	1.0	18
13.71582	-6.59194	-5.13099	SAX_RV_EPICARDIAL	2	1.0	18
12.65358	-8.80148	-3.75268	SAX_RV_EPICARDIAL	2	1.0	18
10.47750	-11.01102	-3.23278	SAX_RV_EPICARDIAL	2	1.0	18
8.30141	-13.22056	-2.71289	SAX_RV_EPICARDIAL	2	1.0	18
5.01148	-15.43010	-3.05143	SAX_RV_EPICARDIAL	2	1.0	18
2.25267	-16.53487	-4.07912	SAX_RV_EPICARDIAL	2	1.0	18
-0.50614	-17.63964	-5.10680	SAX_RV_EPICARDIAL	2	1.0	18
-3.26495	-18.74441	-6.13449	SAX_RV_EPICARDIAL	2	1.0	18
-6.02376	-19.84918	-7.16218	SAX_RV_EPICARDIAL	2	1.0	18
-8.78257	-20.95395	-8.18987	SAX_RV_EPICARDIAL	2	1.0	18
-11.01026	-20.95395	-9.90672	SAX_RV_EPICARDIAL	2	1.0	18
-13.76906	-22.05872	-10.93441	SAX_RV_EPICARDIAL	2	1.0	18
-15.99675	-22.05872	-12.65125	SAX_RV_EPICARDIAL	2	1.0	18
-18.75556	-23.16349	-13.67894	SAX_RV_EPICARDIAL	2	1.0	18
-20.98325	-23.16350	-15.39579	SAX_RV_EPICARDIAL	2	1.0	18
-23.74206	-24.26827	-16.42347	SAX_RV_EPICARDIAL	2	1.0	18
-25.96975	-24.26827	-18.14032	SAX_RV_EPICARDIAL	2	1.0	18
-28.19744	-24.26827	-19.85717	SAX_RV_EPICARDIAL	2	1.0	18
-30.42513	-24.26827	-21.57401	SAX_RV_EPICARDIAL	2	1.0	18
-32.65281	-24.26827	-23.29086	SAX_RV_EPICARDIAL	2	1.0	18
-34.88050	-24.26828	-25.00770	SAX_RV_EPICARDIAL	2	1.0	18
-37.10819	-24.26828	-26.72455	SAX_RV_EPICARDIAL	2	1.0	18
-39.33588	-24.26828	-28.44139	SAX_RV_EPICARDIAL	2	1.0	18
-41.56357	-24.26828	-30.15824	SAX_RV_EPICARDIAL	2	1.0	18
-43.79126	-24.26829	-31.87508	SAX_RV_EPICARDIAL	2	1.0	18
