x	y	z	contour type	frameID	weight	time frame
-53.81585	-24.26830	-39.60089	SAX_RV_FREEWALL	2	1.0	1
-55.51242	-23.16353	-42.00689	SAX_RV_FREEWALL	2	1.0	1
-57.74011	-23.16353	-43.72374	SAX_RV_FREEWALL	2	1.0	1
-59.43668	-22.05877	-46.12974	SAX_RV_FREEWALL	2	1.0	1
-61.66437	-22.05877	-47.84659	SAX_RV_FREEWALL	2	1.0	1
-63.36093	-20.95400	-50.25259	SAX_RV_FREEWALL	2	1.0	1
-65.05750	-19.84924	-52.65859	SAX_RV_FREEWALL	2	1.0	1
-66.22295	-17.63970	-55.75375	SAX_RV_FREEWALL	2	1.0	1
-67.38839	-15.43017	-58.84891	SAX_RV_FREEWALL	2	1.0	1
-68.55384	-13.22063	-61.94407	SAX_RV_FREEWALL	2	1.0	1
-69.71929	-11.01110	-65.03923	SAX_RV_FREEWALL	2	1.0	1
-69.77089	-8.80156	-67.27596	SAX_RV_FREEWALL	2	1.0	1
-69.82249	-6.59203	-69.51270	SAX_RV_FREEWALL	2	1.0	1
-68.76025	-4.38249	-70.89101	SAX_RV_FREEWALL	2	1.0	1
-68.81185	-2.17296	-73.12775	SAX_RV_FREEWALL	2	1.0	1
-67.74961	0.03658	-74.50606	SAX_RV_FREEWALL	2	1.0	1
-65.57352	2.24612	-75.02595	SAX_RV_FREEWALL	2	1.0	1
-64.51128	4.45566	-76.40427	SAX_RV_FREEWALL	2	1.0	1
-62.33520	6.66519	-76.92416	SAX_RV_FREEWALL	2	1.0	1
-60.15911	8.87473	-77.44405	SAX_RV_FREEWALL	2	1.0	1
-57.98302	11.08427	-77.96394	SAX_RV_FREEWALL	2	1.0	1
-54.69309	13.29381	-77.62541	SAX_RV_FREEWALL	2	1.0	1
-52.51701	15.50334	-78.14530	SAX_RV_FREEWALL	2	1.0	1
-49.22708	17.71288	-77.80676	SAX_RV_FREEWALL	2	1.0	1
-46.46827	18.81765	-76.77908	SAX_RV_FREEWALL	2	1.0	1
-43.17834	21.02719	-76.44054	SAX_RV_FREEWALL	2	1.0	1
-40.41953	22.13196	-75.41285	SAX_RV_FREEWALL	2	1.0	1
-37.66072	23.23673	-74.38517	SAX_RV_FREEWALL	2	1.0	1
-34.90191	24.34150	-73.35748	SAX_RV_FREEWALL	2	1.0	1
-32.67422	24.34151	-71.64063	SAX_RV_FREEWALL	2	1.0	1
-30.44653	24.34151	-69.92379	SAX_RV_FREEWALL	2	1.0	1
-28.21884	24.34151	-68.20694	SAX_RV_FREEWALL	2	1.0	1
-25.99116	24.34151	-66.49009	SAX_RV_FREEWALL	2	1.0	1
11.96765	-3.27764	-9.77373	SAX_RV_FREEWALL	2	1.0	1
9.79157	-5.48718	-9.25384	SAX_RV_FREEWALL	2	1.0	1
9.84317	-7.69672	-7.01710	SAX_RV_FREEWALL	2	1.0	1
8.78093	-9.90625	-5.63879	SAX_RV_FREEWALL	2	1.0	1
5.49100	-12.11579	-5.97732	SAX_RV_FREEWALL	2	1.0	1
2.20107	-14.32533	-6.31585	SAX_RV_FREEWALL	2	1.0	1
-0.55774	-15.43010	-7.34354	SAX_RV_FREEWALL	2	1.0	1
-3.31655	-16.53487	-8.37123	SAX_RV_FREEWALL	2	1.0	1
-6.07536	-17.63964	-9.39892	SAX_RV_FREEWALL	2	1.0	1
-8.83417	-18.74441	-10.42661	SAX_RV_FREEWALL	2	1.0	1
-11.59298	-19.84918	-11.45430	SAX_RV_FREEWALL	2	1.0	1
-13.82067	-19.84918	-13.17114	SAX_RV_FREEWALL	2	1.0	1
-16.57948	-20.95396	-14.19883	SAX_RV_FREEWALL	2	1.0	1
-19.33829	-22.05873	-15.22652	SAX_RV_FREEWALL	2	1.0	1
-21.56597	-22.05873	-16.94336	SAX_RV_FREEWALL	2	1.0	1
-24.32478	-23.16350	-17.97105	SAX_RV_FREEWALL	2	1.0	1
-26.55247	-23.16350	-19.68790	SAX_RV_FREEWALL	2	1.0	1
-29.31128	-24.26827	-20.71559	SAX_RV_FREEWALL	2	1.0	1
-31.53897	-24.26827	-22.43243	SAX_RV_FREEWALL	2	1.0	1
-33.76666	-24.26828	-24.14928	SAX_RV_FREEWALL	2	1.0	1
-35.99435	-24.26828	-25.86613	SAX_RV_FREEWALL	2	1.0	1
-38.22204	-24.26828	-27.58297	SAX_RV_FREEWALL	2	1.0	1
-40.44972	-24.26828	-29.29982	SAX_RV_FREEWALL	2	1.0	1
-42.67741	-24.26828	-31.01666	SAX_RV_FREEWALL	2	1.0	1
-44.90510	-24.26829	-32.73351	SAX_RV_FREEWALL	2	1.0	1
-47.13279	-24.26829	-34.45035	SAX_RV_FREEWALL	2	1.0	1
-49.36048	-24.26829	-36.16720	SAX_RV_FREEWALL	2	1.0	1
-51.58817	-24.26829	-37.88404	SAX_RV_FREEWALL	2	1.0	1
-40.92924	-27.58259	-26.37392	SAX_RV_EPICARDIAL	2	1.0	1
-42.62581	-26.47782	-28.77993	SAX_RV_EPICARDIAL	2	1.0	1
-44.85350	-26.47782	-30.49677	SAX_RV_EPICARDIAL	2	1.0	1
-47.08119	-26.47782	-32.21362	SAX_RV_EPICARDIAL	2	1.0	1
-49.30888	-26.47783	-33.93046	SAX_RV_EPICARDIAL	2	1.0	1
-51.53656	-26.47783	-35.64731	SAX_RV_EPICARDIAL	2	1.0	1
-53.76425	-26.47783	-37.36415	SAX_RV_EPICARDIAL	2	1.0	1
-55.99194	-26.47783	-39.08100	SAX_RV_EPICARDIAL	2	1.0	1
-57.68851	-25.37307	-41.48700	SAX_RV_EPICARDIAL	2	1.0	1
-59.91620	-25.37307	-43.20385	SAX_RV_EPICARDIAL	2	1.0	1
-61.61276	-24.26830	-45.60985	SAX_RV_EPICARDIAL	2	1.0	1
-63.30933	-23.16354	-48.01585	SAX_RV_EPICARDIAL	2	1.0	1
-65.00590	-22.05877	-50.42185	SAX_RV_EPICARDIAL	2	1.0	1
-67.23359	-22.05877	-52.13870	SAX_RV_EPICARDIAL	2	1.0	1
-68.39903	-19.84924	-55.23386	SAX_RV_EPICARDIAL	2	1.0	1
-69.56448	-17.63970	-58.32902	SAX_RV_EPICARDIAL	2	1.0	1
-70.72993	-15.43017	-61.42418	SAX_RV_EPICARDIAL	2	1.0	1
-71.89537	-13.22064	-64.51934	SAX_RV_EPICARDIAL	2	1.0	1
-71.94698	-11.01110	-66.75607	SAX_RV_EPICARDIAL	2	1.0	1
-71.99858	-8.80157	-68.99281	SAX_RV_EPICARDIAL	2	1.0	1
-70.93634	-6.59203	-70.37112	SAX_RV_EPICARDIAL	2	1.0	1
-70.98794	-4.38249	-72.60786	SAX_RV_EPICARDIAL	2	1.0	1
-69.92570	-2.17296	-73.98617	SAX_RV_EPICARDIAL	2	1.0	1
-68.86346	0.03658	-75.36449	SAX_RV_EPICARDIAL	2	1.0	1
-67.80121	2.24612	-76.74280	SAX_RV_EPICARDIAL	2	1.0	1
-66.73897	4.45565	-78.12111	SAX_RV_EPICARDIAL	2	1.0	1
-64.56289	6.66519	-78.64100	SAX_RV_EPICARDIAL	2	1.0	1
-62.38680	8.87473	-79.16089	SAX_RV_EPICARDIAL	2	1.0	1
-60.21071	11.08427	-79.68078	SAX_RV_EPICARDIAL	2	1.0	1
-58.03463	13.29380	-80.20067	SAX_RV_EPICARDIAL	2	1.0	1
-54.74470	15.50334	-79.86214	SAX_RV_EPICARDIAL	2	1.0	1
-52.56861	17.71288	-80.38203	SAX_RV_EPICARDIAL	2	1.0	1
-49.27868	19.92242	-80.04350	SAX_RV_EPICARDIAL	2	1.0	1
-47.10259	22.13196	-80.56339	SAX_RV_EPICARDIAL	2	1.0	1
-44.34378	23.23673	-79.53570	SAX_RV_EPICARDIAL	2	1.0	1
-41.58498	24.34150	-78.50801	SAX_RV_EPICARDIAL	2	1.0	1
-38.82617	25.44627	-77.48033	SAX_RV_EPICARDIAL	2	1.0	1
-35.53624	27.65581	-77.14179	SAX_RV_EPICARDIAL	2	1.0	1
-32.77743	28.76058	-76.11410	SAX_RV_EPICARDIAL	2	1.0	1
-30.54974	28.76058	-74.39726	SAX_RV_EPICARDIAL	2	1.0	1
-28.32205	28.76058	-72.68041	SAX_RV_EPICARDIAL	2	1.0	1
-26.09436	28.76058	-70.96357	SAX_RV_EPICARDIAL	2	1.0	1
-24.39779	27.65582	-68.55756	SAX_RV_EPICARDIAL	2	1.0	1
-25.40843	23.23675	-64.94252	SAX_RV_EPICARDIAL	2	1.0	1
12.49878	-2.17287	-10.46288	SAX_RV_EPICARDIAL	2	1.0	1
14.19534	-3.27764	-8.05688	SAX_RV_EPICARDIAL	2	1.0	1
