x	y	z	contour type	frameID	weight	time frame
-41.08405	-20.95398	-33.08413	SAX_RV_FREEWALL	2	1.0	16
-42.78062	-19.84921	-35.49013	SAX_RV_FREEWALL	2	1.0	16
-45.00831	-19.84922	-37.20698	SAX_RV_FREEWALL	2	1.0	16
-47.23599	-19.84922	-38.92383	SAX_RV_FREEWALL	2	1.0	16
-49.46368	-19.84922	-40.64067	SAX_RV_FREEWALL	2	1.0	16
-51.69137	-19.84922	-42.35752	SAX_RV_FREEWALL	2	1.0	16
-53.38794	-18.74446	-44.76352	SAX_RV_FREEWALL	2	1.0	16
-55.61563	-18.74446	-46.48037	SAX_RV_FREEWALL	2	1.0	16
-57.84332	-18.74446	-48.19721	SAX_RV_FREEWALL	2	1.0	16
-60.07100	-18.74446	-49.91406	SAX_RV_FREEWALL	2	1.0	16
-61.23645	-16.53493	-53.00922	SAX_RV_FREEWALL	2	1.0	16
-62.93302	-15.43016	-55.41522	SAX_RV_FREEWALL	2	1.0	16
-64.62959	-14.32540	-57.82122	SAX_RV_FREEWALL	2	1.0	16
-66.32615	-13.22063	-60.22722	SAX_RV_FREEWALL	2	1.0	16
-68.02272	-12.11586	-62.63322	SAX_RV_FREEWALL	2	1.0	16
-68.07432	-9.90633	-64.86996	SAX_RV_FREEWALL	2	1.0	16
-68.12592	-7.69679	-67.10670	SAX_RV_FREEWALL	2	1.0	16
-68.17753	-5.48726	-69.34343	SAX_RV_FREEWALL	2	1.0	16
-67.11529	-3.27772	-70.72175	SAX_RV_FREEWALL	2	1.0	16
-64.93920	-1.06818	-71.24164	SAX_RV_FREEWALL	2	1.0	16
-63.87696	1.14135	-72.61995	SAX_RV_FREEWALL	2	1.0	16
-61.70087	3.35089	-73.13984	SAX_RV_FREEWALL	2	1.0	16
-59.52479	5.56043	-73.65973	SAX_RV_FREEWALL	2	1.0	16
-57.34870	7.76997	-74.17962	SAX_RV_FREEWALL	2	1.0	16
-55.17261	9.97950	-74.69951	SAX_RV_FREEWALL	2	1.0	16
-51.88268	12.18904	-74.36098	SAX_RV_FREEWALL	2	1.0	16
-49.70660	14.39858	-74.88087	SAX_RV_FREEWALL	2	1.0	16
-46.41667	16.60812	-74.54234	SAX_RV_FREEWALL	2	1.0	16
-43.12674	18.81766	-74.20381	SAX_RV_FREEWALL	2	1.0	16
-40.36793	19.92243	-73.17612	SAX_RV_FREEWALL	2	1.0	16
-37.60912	21.02720	-72.14843	SAX_RV_FREEWALL	2	1.0	16
-34.85031	22.13197	-71.12074	SAX_RV_FREEWALL	2	1.0	16
-32.09150	23.23674	-70.09305	SAX_RV_FREEWALL	2	1.0	16
-30.39493	22.13197	-67.68705	SAX_RV_FREEWALL	2	1.0	16
-28.16724	22.13198	-65.97020	SAX_RV_FREEWALL	2	1.0	16
-26.47068	21.02721	-63.56420	SAX_RV_FREEWALL	2	1.0	16
-11.26827	-9.90627	-21.09040	SAX_RV_FREEWALL	2	1.0	16
-11.21667	-12.11581	-18.85366	SAX_RV_FREEWALL	2	1.0	16
-11.16506	-14.32534	-16.61693	SAX_RV_FREEWALL	2	1.0	16
-11.11346	-16.53488	-14.38019	SAX_RV_FREEWALL	2	1.0	16
-11.64458	-17.63965	-13.69103	SAX_RV_FREEWALL	2	1.0	16
-12.17570	-18.74442	-13.00188	SAX_RV_FREEWALL	2	1.0	16
-14.93451	-19.84919	-14.02956	SAX_RV_FREEWALL	2	1.0	16
-17.16220	-19.84919	-15.74641	SAX_RV_FREEWALL	2	1.0	16
-19.92101	-20.95396	-16.77410	SAX_RV_FREEWALL	2	1.0	16
-22.14870	-20.95396	-18.49094	SAX_RV_FREEWALL	2	1.0	16
-24.37639	-20.95396	-20.20779	SAX_RV_FREEWALL	2	1.0	16
-26.60407	-20.95397	-21.92464	SAX_RV_FREEWALL	2	1.0	16
-28.83176	-20.95397	-23.64148	SAX_RV_FREEWALL	2	1.0	16
-31.05945	-20.95397	-25.35833	SAX_RV_FREEWALL	2	1.0	16
-33.28714	-20.95397	-27.07517	SAX_RV_FREEWALL	2	1.0	16
-35.51483	-20.95397	-28.79202	SAX_RV_FREEWALL	2	1.0	16
-37.74252	-20.95398	-30.50886	SAX_RV_FREEWALL	2	1.0	16
-39.97021	-20.95398	-32.22571	SAX_RV_FREEWALL	2	1.0	16
-33.76666	-24.26828	-24.14928	SAX_RV_EPICARDIAL	2	1.0	16
-35.46323	-23.16351	-26.55528	SAX_RV_EPICARDIAL	2	1.0	16
-37.69091	-23.16351	-28.27213	SAX_RV_EPICARDIAL	2	1.0	16
-39.91860	-23.16351	-29.98897	SAX_RV_EPICARDIAL	2	1.0	16
-42.14629	-23.16352	-31.70582	SAX_RV_EPICARDIAL	2	1.0	16
-44.37398	-23.16352	-33.42266	SAX_RV_EPICARDIAL	2	1.0	16
-46.60167	-23.16352	-35.13951	SAX_RV_EPICARDIAL	2	1.0	16
-48.82936	-23.16352	-36.85636	SAX_RV_EPICARDIAL	2	1.0	16
-50.52592	-22.05876	-39.26236	SAX_RV_EPICARDIAL	2	1.0	16
-52.75361	-22.05876	-40.97920	SAX_RV_EPICARDIAL	2	1.0	16
-54.98130	-22.05876	-42.69605	SAX_RV_EPICARDIAL	2	1.0	16
-57.20899	-22.05876	-44.41289	SAX_RV_EPICARDIAL	2	1.0	16
-58.90556	-20.95400	-46.81890	SAX_RV_EPICARDIAL	2	1.0	16
-61.13325	-20.95400	-48.53574	SAX_RV_EPICARDIAL	2	1.0	16
-63.36093	-20.95400	-50.25259	SAX_RV_EPICARDIAL	2	1.0	16
-64.52638	-18.74447	-53.34775	SAX_RV_EPICARDIAL	2	1.0	16
-66.22295	-17.63970	-55.75375	SAX_RV_EPICARDIAL	2	1.0	16
-67.38839	-15.43017	-58.84891	SAX_RV_EPICARDIAL	2	1.0	16
-69.08496	-14.32540	-61.25491	SAX_RV_EPICARDIAL	2	1.0	16
-70.25041	-12.11587	-64.35007	SAX_RV_EPICARDIAL	2	1.0	16
-70.30201	-9.90633	-66.58681	SAX_RV_EPICARDIAL	2	1.0	16
-70.35361	-7.69680	-68.82354	SAX_RV_EPICARDIAL	2	1.0	16
-69.29137	-5.48726	-70.20186	SAX_RV_EPICARDIAL	2	1.0	16
-69.34297	-3.27772	-72.43859	SAX_RV_EPICARDIAL	2	1.0	16
-67.16689	-1.06819	-72.95848	SAX_RV_EPICARDIAL	2	1.0	16
-64.99080	1.14135	-73.47837	SAX_RV_EPICARDIAL	2	1.0	16
-63.92856	3.35089	-74.85669	SAX_RV_EPICARDIAL	2	1.0	16
-61.75247	5.56043	-75.37658	SAX_RV_EPICARDIAL	2	1.0	16
-59.57639	7.76996	-75.89647	SAX_RV_EPICARDIAL	2	1.0	16
-57.40030	9.97950	-76.41636	SAX_RV_EPICARDIAL	2	1.0	16
-55.22422	12.18904	-76.93625	SAX_RV_EPICARDIAL	2	1.0	16
-53.04813	14.39858	-77.45614	SAX_RV_EPICARDIAL	2	1.0	16
-49.75820	16.60812	-77.11761	SAX_RV_EPICARDIAL	2	1.0	16
-46.46827	18.81765	-76.77908	SAX_RV_EPICARDIAL	2	1.0	16
-43.17834	21.02719	-76.44054	SAX_RV_EPICARDIAL	2	1.0	16
-40.41953	22.13196	-75.41285	SAX_RV_EPICARDIAL	2	1.0	16
-37.66072	23.23673	-74.38517	SAX_RV_EPICARDIAL	2	1.0	16
-34.90191	24.34150	-73.35748	SAX_RV_EPICARDIAL	2	1.0	16
-32.14310	25.44627	-72.32979	SAX_RV_EPICARDIAL	2	1.0	16
-30.44653	24.34151	-69.92379	SAX_RV_EPICARDIAL	2	1.0	16
-28.21884	24.34151	-68.20694	SAX_RV_EPICARDIAL	2	1.0	16
-25.46004	25.44628	-67.17925	SAX_RV_EPICARDIAL	2	1.0	16
-23.76347	24.34152	-64.77325	SAX_RV_EPICARDIAL	2	1.0	16
-10.47913	-19.84918	-10.59587	SAX_RV_EPICARDIAL	2	1.0	16
-8.25145	-19.84918	-8.87903	SAX_RV_EPICARDIAL	2	1.0	16
-5.49264	-18.74441	-7.85134	SAX_RV_EPICARDIAL	2	1.0	16
-2.73383	-17.63964	-6.82365	SAX_RV_EPICARDIAL	2	1.0	16
0.02498	-16.53487	-5.79596	SAX_RV_EPICARDIAL	2	1.0	16
3.31491	-14.32533	-5.45743	SAX_RV_EPICARDIAL	2	1.0	16
6.07372	-13.22056	-4.42974	SAX_RV_EPICARDIAL	2	1.0	16
9.36365	-11.01102	-4.09121	SAX_RV_EPICARDIAL	2	1.0	16
8.83253	-12.11579	-3.40205	SAX_RV_EPICARDIAL	2	1.0	16
5.54260	-14.32533	-3.74058	SAX_RV_EPICARDIAL	2	1.0	16
2.78379	-15.43010	-4.76827	SAX_RV_EPICARDIAL	2	1.0	16
0.02498	-16.53487	-5.79596	SAX_RV_EPICARDIAL	2	1.0	16
-2.73383	-17.63964	-6.82365	SAX_RV_EPICARDIAL	2	1.0	16
-5.49264	-18.74441	-7.85134	SAX_RV_EPICARDIAL	2	1.0	16
-8.25145	-19.84918	-8.87903	SAX_RV_EPICARDIAL	2	1.0	16
-11.01026	-20.95395	-9.90672	SAX_RV_EPICARDIAL	2	1.0	16
-13.23794	-20.95395	-11.62356	SAX_RV_EPICARDIAL	2	1.0	16
-15.46563	-20.95395	-13.34041	SAX_RV_EPICARDIAL	2	1.0	16
-18.22444	-22.05872	-14.36810	SAX_RV_EPICARDIAL	2	1.0	16
-20.45213	-22.05873	-16.08494	SAX_RV_EPICARDIAL	2	1.0	16
-23.21094	-23.16350	-17.11263	SAX_RV_EPICARDIAL	2	1.0	16
-25.43863	-23.16350	-18.82948	SAX_RV_EPICARDIAL	2	1.0	16
-28.19744	-24.26827	-19.85717	SAX_RV_EPICARDIAL	2	1.0	16
-30.42513	-24.26827	-21.57401	SAX_RV_EPICARDIAL	2	1.0	16
-32.65281	-24.26827	-23.29086	SAX_RV_EPICARDIAL	2	1.0	16
-24.77411	19.92244	-61.15820	SAX_RV_SEPTUM	2	1.0	16
-25.83635	17.71291	-59.77989	SAX_RV_SEPTUM	2	1.0	16
-25.78475	15.50337	-57.54315	SAX_RV_SEPTUM	2	1.0	16
-25.73314	13.29384	-55.30641	SAX_RV_SEPTUM	2	1.0	16
-25.68154	11.08430	-53.06968	SAX_RV_SEPTUM	2	1.0	16
-25.62994	8.87476	-50.83294	SAX_RV_SEPTUM	2	1.0	16
-25.57834	6.66523	-48.59620	SAX_RV_SEPTUM	2	1.0	16
-24.41289	4.45570	-45.50105	SAX_RV_SEPTUM	2	1.0	16
-23.24744	2.24616	-42.40589	SAX_RV_SEPTUM	2	1.0	16
-23.19584	0.03663	-40.16915	SAX_RV_SEPTUM	2	1.0	16
-22.03040	-2.17291	-37.07399	SAX_RV_SEPTUM	2	1.0	16
-20.86495	-4.38244	-33.97883	SAX_RV_SEPTUM	2	1.0	16
-19.69950	-6.59198	-30.88367	SAX_RV_SEPTUM	2	1.0	16
-17.47181	-6.59198	-29.16683	SAX_RV_SEPTUM	2	1.0	16
-15.24413	-6.59197	-27.44998	SAX_RV_SEPTUM	2	1.0	16
-13.01644	-6.59197	-25.73314	SAX_RV_SEPTUM	2	1.0	16
-10.78875	-6.59197	-24.01629	SAX_RV_SEPTUM	2	1.0	16
-8.02994	-5.48720	-22.98860	SAX_RV_SEPTUM	2	1.0	16
-5.80225	-5.48720	-21.27176	SAX_RV_SEPTUM	2	1.0	16
-9.09218	-7.69673	-21.61029	SAX_RV_SEPTUM	2	1.0	16
-22.06690	23.23675	-62.36725	SAX_LV_EPICARDIAL	2	1.0	16
-21.00466	25.44629	-63.74556	SAX_LV_EPICARDIAL	2	1.0	16
-19.94242	27.65582	-65.12387	SAX_LV_EPICARDIAL	2	1.0	16
-18.88017	29.86536	-66.50219	SAX_LV_EPICARDIAL	2	1.0	16
-16.70409	32.07490	-67.02208	SAX_LV_EPICARDIAL	2	1.0	16
-14.52800	34.28443	-67.54197	SAX_LV_EPICARDIAL	2	1.0	16
-12.35192	36.49397	-68.06186	SAX_LV_EPICARDIAL	2	1.0	16
-9.06199	38.70351	-67.72333	SAX_LV_EPICARDIAL	2	1.0	16
-5.77206	40.91305	-67.38479	SAX_LV_EPICARDIAL	2	1.0	16
-2.48213	43.12259	-67.04626	SAX_LV_EPICARDIAL	2	1.0	16
0.27668	44.22736	-66.01857	SAX_LV_EPICARDIAL	2	1.0	16
3.03549	45.33213	-64.99088	SAX_LV_EPICARDIAL	2	1.0	16
5.79430	46.43690	-63.96320	SAX_LV_EPICARDIAL	2	1.0	16
8.55311	47.54167	-62.93551	SAX_LV_EPICARDIAL	2	1.0	16
11.31192	48.64644	-61.90782	SAX_LV_EPICARDIAL	2	1.0	16
13.53961	48.64644	-60.19097	SAX_LV_EPICARDIAL	2	1.0	16
16.29842	49.75121	-59.16328	SAX_LV_EPICARDIAL	2	1.0	16
18.52611	49.75122	-57.44644	SAX_LV_EPICARDIAL	2	1.0	16
20.75380	49.75122	-55.72959	SAX_LV_EPICARDIAL	2	1.0	16
22.98148	49.75122	-54.01275	SAX_LV_EPICARDIAL	2	1.0	16
25.20917	49.75122	-52.29590	SAX_LV_EPICARDIAL	2	1.0	16
26.90574	48.64646	-49.88990	SAX_LV_EPICARDIAL	2	1.0	16
28.60231	47.54169	-47.48390	SAX_LV_EPICARDIAL	2	1.0	16
30.83000	47.54169	-45.76705	SAX_LV_EPICARDIAL	2	1.0	16
31.99544	45.33216	-42.67189	SAX_LV_EPICARDIAL	2	1.0	16
33.69201	44.22739	-40.26589	SAX_LV_EPICARDIAL	2	1.0	16
34.85746	42.01786	-37.17073	SAX_LV_EPICARDIAL	2	1.0	16
36.55402	40.91309	-34.76473	SAX_LV_EPICARDIAL	2	1.0	16
37.71947	38.70356	-31.66957	SAX_LV_EPICARDIAL	2	1.0	16
37.77107	36.49402	-29.43283	SAX_LV_EPICARDIAL	2	1.0	16
37.82268	34.28449	-27.19610	SAX_LV_EPICARDIAL	2	1.0	16
37.87428	32.07495	-24.95936	SAX_LV_EPICARDIAL	2	1.0	16
